NAME	ORIGINAL SIZE	AFTER RESTRICTING TO DATASET	STATUS	
HALLMARK_ADIPOGENESIS	200	18		
HALLMARK_ALLOGRAFT_REJECTION	200		Rejected!	
HALLMARK_ANDROGEN_RESPONSE	101		Rejected!	
HALLMARK_ANGIOGENESIS	36		Rejected!	
HALLMARK_APICAL_JUNCTION	200		Rejected!	
HALLMARK_APICAL_SURFACE	44		Rejected!	
HALLMARK_APOPTOSIS	161		Rejected!	
HALLMARK_BILE_ACID_METABOLISM	112	15		
HALLMARK_CHOLESTEROL_HOMEOSTASIS	74		Rejected!	
HALLMARK_COAGULATION	138		Rejected!	
HALLMARK_COMPLEMENT	200	23		
HALLMARK_DNA_REPAIR	150	21		
HALLMARK_E2F_TARGETS	200	17		
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	200	15		
HALLMARK_ESTROGEN_RESPONSE_EARLY	200		Rejected!	
HALLMARK_ESTROGEN_RESPONSE_LATE	200	15		
HALLMARK_FATTY_ACID_METABOLISM	158		Rejected!	
HALLMARK_G2M_CHECKPOINT	200		Rejected!	
HALLMARK_GLYCOLYSIS	200	22		
HALLMARK_HEDGEHOG_SIGNALING	36		Rejected!	
HALLMARK_HEME_METABOLISM	200	18		
HALLMARK_HYPOXIA	200		Rejected!	
HALLMARK_IL2_STAT5_SIGNALING	199	21		
HALLMARK_IL6_JAK_STAT3_SIGNALING	87		Rejected!	
HALLMARK_INFLAMMATORY_RESPONSE	200		Rejected!	
HALLMARK_INTERFERON_ALPHA_RESPONSE	97		Rejected!	
HALLMARK_INTERFERON_GAMMA_RESPONSE	200		Rejected!	
HALLMARK_KRAS_SIGNALING_DN	200	18		
HALLMARK_KRAS_SIGNALING_UP	200		Rejected!	
HALLMARK_MITOTIC_SPINDLE	199	17		
HALLMARK_MTORC1_SIGNALING	200	17		
HALLMARK_MYC_TARGETS_V1	200		Rejected!	
HALLMARK_MYC_TARGETS_V2	58		Rejected!	
HALLMARK_MYOGENESIS	200	21		
HALLMARK_NOTCH_SIGNALING	32		Rejected!	
HALLMARK_OXIDATIVE_PHOSPHORYLATION	200		Rejected!	
HALLMARK_P53_PATHWAY	200	17		
HALLMARK_PANCREAS_BETA_CELLS	40		Rejected!	
HALLMARK_PEROXISOME	104		Rejected!	
HALLMARK_PI3K_AKT_MTOR_SIGNALING	105		Rejected!	
HALLMARK_PROTEIN_SECRETION	96		Rejected!	
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	49		Rejected!	
HALLMARK_SPERMATOGENESIS	135		Rejected!	
HALLMARK_TGF_BETA_SIGNALING	54		Rejected!	
HALLMARK_TNFA_SIGNALING_VIA_NFKB	200	20		
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	113		Rejected!	
HALLMARK_UV_RESPONSE_DN	144		Rejected!	
HALLMARK_UV_RESPONSE_UP	158		Rejected!	
HALLMARK_WNT_BETA_CATENIN_SIGNALING	42		Rejected!	
HALLMARK_XENOBIOTIC_METABOLISM	200	15		
